DOSSIER,N,11,0;DE_JEUX,N,11,0;NOM_AIRE,C,32;TOTAL_JEUX,N,11,0;_1_à_4_ANS,N,11,0;_1_à_5_ANS,N,11,0;_1_à_6_ANS,N,11,0;à_15_ANS,N,11,0;14_ET_PLUS,N,11,0;2_à_10_ANS,N,11,0;2_à_12_ANS,N,11,0;à_15__ANS,N,11,0;_2_à_4_ANS,N,11,0;_2_à_5_ANS,N,11,0;_2_à_6_ANS,N,11,0;_2_à_7_ANS,N,11,0;_2_à_8_ANS,N,11,0;3_à_12_ANS,N,11,0;à_15__AN0,N,11,0;_3_à_6_ANS,N,11,0;_3_à_7_ANS,N,31,15;_3_à_8_ANS,N,31,15;_3_à_9_ANS,N,31,15;4_à_10_ANS,N,31,15;4_à_12_ANS,N,31,15;à_15__AN1,N,31,15;_4_à_6_ANS,N,31,15;_4_à_8_ANS,N,31,15;5_à_12_ANS,N,31,15;_5_à_8_ANS,N,31,15;6_à_12_ANS,N,31,15;6_à_14_ANS,N,31,15;à_15__AN2,N,31,15;7_à_14_ANS,N,31,15;LONGITUDE,N,31,15;LATITUDE,N,31,15
857;110;Mas de Neuville;7;0;0;0;0;0;0;0;0;0;0;1;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3,841283;43,626368
538;111;Aire Aiguelongue haute;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,87374;43,629918
894;112;Place de l'Aiguelongue;3;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,880922;43,628054
178;113;Cité Astruc;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;1;0;1;3,852129;43,611301
626;114;Square la Carriera extension;4;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3,817663;43,641353
247;115;Pierre Cardenal;3;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3,818525;43,637642
956;116;ACM Les Aiguerelles;3;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,885534;43,601675
842;118;Aire des Cétoines;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3,873845;43,628158
932;119;ACM Aiguelongue I;4;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,881088;43,627869
933;120;ACM Aiguelongue II;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3,878998;43,629881
