"DOSSIER,N,31,15","NOM,C,42","NOMCOURT,C,20","CRéaTION,C,10","DOM_PUBLIC,C,10","TOTALE,N,31,15","CATÉGORIE,C,9","VILLE,C,3","XCOORD,N,31,15","YCOORD,N,31,15","ADRESSE,C,59","TRAML1,C,47","BUS,C,36","ACCESSIBIL,C,3","HANDICAPés,C,3","QUARTIER,C,17","LIBPROPRI,C,22"
262,Square des Prunelliers,Sq Prunelliers,19600101,19600101,606,Square,E11,"3,833718","43,616273",Rue des Avellaniers,3 - Pilory - 363 m,6 - Paul Rimbaud - 129 m,Oui,Non,Les Cévennes,Ville de Montpellier
263,Square des Trolles (Petit Bard),Sq Trolles,19830101,19830101,200,Square,E11,"3,837444","43,617131",Rue des Trolles,3 - Pergola - 199 m,6 - Pergola - 104 m,Oui,Oui,Les Cévennes,Ville de Montpellier
268,Square Abbé Coursindel,Sq Coursindel,19950101,19790101,1173,Square,i9,"3,864089","43,607319",Rue Saint-Etienne,3 - Les Arceaux - 284 m,11 - Figuerolles - 102 m,Oui,Oui,Centre,Ville de Montpellier
280,Parc de Bagatelle,Parc Bagatelle,01/01/1850,19890101,12475,Parc,F6,"3,839502","43,594037",252 Rue de Cheng-du,2 - Sabines - 2015 m,10 - Rouget de l'Isle - 56 m,Oui,Oui,Croix d'Argent,Ville de Montpellier
288,Aire de jeux du Mas de Bagnères,Jeux Mas Bagnères,19890101,19890101,2591,Square,H4,"3,856974","43,584823",Rue Poutingon,2 - Sabines - 279 m,10 - Mas de Bagnères - 265 m,Oui,Non,Croix d'Argent,Ville de Montpellier
289,Square du Mas Drevon,Sq Mas Drevon,19790101,19790101,7749,Square,J6,"3,869679","43,591797",rue Henri Roseau,2 - Croix d'Argent - 267 m,15 - Les Pins - 315 m,Oui,Non,Croix d'Argent,Ville de Montpellier
294,Berges du Lez-cyprès,Berges Lez-cyprès,19820101,19820101,13040,Berges,O7,"3,901502","43,595149",Rue des Acconiers,3 - Pablo Picasso - 390 m,8 - La Rauze - 413 m,Oui,Oui,Près d'Arènes,Ville de Montpellier
300,Jardin des Beaux Arts -  MPT Chopin,Jardin Beaux Arts,01/01/1850,19890101,1670,Square,L11,"3,883848","43,615952","19 avenue de Nîmes, 3 rue du marché aux bestiaux",2 - Beaux Arts - 136 m,14 - Ernest Renan - 132 m,Oui,Non,Centre,Ville de Montpellier
303,Square des Améthystes,Sq  Améthystes,19890101,19890101,260,Square,M7,"3,890515","43,596472",Rue de l'Améthystes,3 - Garcia Lorca - 542 m,15 - Jean Mirailhet - 132 m,Oui,Non,Près d'Arènes,Ville de Montpellier
304,Square Saint-Cléophas,Sq St-Cléophas,19880101,19880101,222,Square,J8,"3,867575","43,600263",Route de Toulouse,2 - Mas Drevon - 535 m,6 - Place du 8 Mai - 57 m,Oui,Non,Croix d'Argent,Ville de Montpellier
305,Bois de la Chaumière,Bois de la Chaumière,01/01/1850,19800101,45440,Bois,T11,"3,933162","43,615543",Avenue Albert Einstein,1 - Odysseum - 1656 m,9 - Cimetière Saint-Etienne - 207 m,Oui,Oui,Port Marianne,Ville de Montpellier
308,Parcours de santé,Parcours de santé,19810101,19790101,123700,Bois,S12,"3,926789","43,618535",Avenue Albert Einstein,1 - Odysseum - 1714 m,9 - Grammont - 579 m,Oui,Oui,Port Marianne,Ville de Montpellier
