"VOI_NUM,N,9,2","ACV_NUM,N,9,2","X,N,13,5","Y,N,14,5","ACC_TBAN,C,3","ACC_TACC,C,3","DATE_,C,12","RIVOLI,C,10","ID_PP,N,10,0"
1109,2846,"3,84548","43,64264",NON,OUI,"""30-07-2010""",1109,479
1568,2946,"3,84671","43,64024",NON,OUI,"""30-07-2010""",1568,480
917,2938,"3,84726","43,6388",NON,OUI,"""30-07-2010""",917,481
1727,2894,"3,85312","43,63911",NON,NON,"""30-07-2010""",1727,482
1727,2894,"3,85373","43,63919",NON,OUI,"""30-07-2010""",1727,483
1727,2891,"3,85404","43,63934",NON,OUI,"""30-07-2010""",1727,484
1727,2891,"3,85708","43,64064",NON,NON,"""30-07-2010""",1727,485
1727,2883,"3,85761","43,64075",NON,OUI,"""30-07-2010""",1727,486
1238,2880,"3,85998","43,64312",NON,OUI,"""30-07-2010""",1238,487
1238,2880,"3,86028","43,64338",NON,OUI,"""30-07-2010""",1238,488
1518,6434,"3,86247","43,6457",NON,OUI,"""30-07-2010""",1518,489
1518,6434,"3,86416","43,64786",NON,OUI,"""30-07-2010""",1518,490
9999,2824,768100,6283000,NON,OUI,"""18-10-2010""",9999,299
9999,2826,768100,6283000,NON,OUI,"""18-10-2010""",9999,300
1109,3420,768400,6283000,NON,OUI,"""18-10-2010""",1109,301
1109,2940,768400,6283000,NON,OUI,"""18-10-2010""",1109,302
1616,2997,768900,6283000,NON,OUI,"""18-10-2010""",1616,303
1109,3240,768600,6282000,OUI,OUI,"""18-10-2010""",1109,304
1109,3240,768500,6282000,NON,OUI,"""18-10-2010""",1109,305
2117,349,770100,6282000,NON,OUI,"""18-10-2010""",2117,306
0,3397,770100,6282000,NON,NON,"""18-10-2010""",0,307
1518,3395,769900,6283000,NON,NON,"""18-10-2010""",1518,308
457,358,770200,6282000,NON,NON,"""18-10-2010""",457,309
1482,3111,770900,6282000,NON,OUI,"""18-10-2010""",1482,310
2351,2865,769800,6284000,NON,NON,"""18-10-2010""",2351,311
2741,2868,770100,6283000,NON,OUI,"""18-10-2010""",2741,312
2741,2868,770100,6283000,NON,NON,"""18-10-2010""",2741,313
1745,6667,766700,6280000,TVX,TVX,"""18-10-2010""",1745,314
643,622,768300,6279000,OUI,OUI,"""18-10-2010""",643,315
531,15412,768500,6279000,OUI,OUI,"""18-10-2010""",531,316
807,648,768900,6279000,OUI,OUI,"""18-10-2010""",807,317
1027,6481,769300,6279000,NON,OUI,"""18-10-2010""",1027,318
1363,4874,769300,6279000,NON,OUI,"""18-10-2010""",1363,319
1363,1816,768600,6278000,NON,NON,"""18-10-2010""",1363,320
1405,1754,768900,6278000,OUI,OUI,"""18-10-2010""",1405,321
596,1766,769100,6278000,NON,NON,"""18-10-2010""",596,322
