N° Election;Election;Code Commune;Commune;N° Bureau;Bureau;Circonscritpion;Canton;Inscrits;Votants;Nuls;Blancs;Exprimés;Procurations;N° Candidat;Candidat;Nombre de Voix
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;5;Salle Pagézy;2;01;1168;480;1;2;477;12;12;Liste POUTOU Philippe                             ;2
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;5;Salle Pagézy;2;01;1168;480;1;2;477;12;13;Liste ROZIÈRE Virginie                            ;101
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;5;Salle Pagézy;2;01;1168;480;1;2;477;12;14;Liste BOVÉ José                                   ;117
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;5;Salle Pagézy;2;01;1168;480;1;2;477;12;15;Liste ALLIOT-MARIE Michèle                        ;61
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;5;Salle Pagézy;2;01;1168;480;1;2;477;12;16;Liste BOUSSION Joseph                             ;23
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;5;Salle Pagézy;2;01;1168;480;1;2;477;12;17;Liste LENNE Francis                               ;3
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;5;Salle Pagézy;2;01;1168;480;1;2;477;12;18;Liste NÈGRE Anne                                  ;5
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;5;Salle Pagézy;2;01;1168;480;1;2;477;12;19;Liste CHAMAGNE Régis                              ;2
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;5;Salle Pagézy;2;01;1168;480;1;2;477;12;20;Liste GHAZOUANE Sami                              ;0
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;5;Salle Pagézy;2;01;1168;480;1;2;477;12;21;Liste MARTINEZ Jean-Claude                        ;8
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;5;Salle Pagézy;2;01;1168;480;1;2;477;12;22;Liste LESELLIER Pascal                            ;12
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;5;Salle Pagézy;2;01;1168;480;1;2;477;12;23;Liste JUY Monique                                 ;1
