"OBJECTID,N,10,0","IDENT,C,254","NOM,C,254","VLEGALE,N,19,8","REF,C,254","DDEBUT,D","DFIN,D","SENS,C,254","PHJM,N,19,8","PHJS,N,19,8","TJM,N,19,8","COMMENTAIR,C,254","MOIS,N,19,8","ANNEE,N,19,8","TYPECOMPTA,C,50","IDENTSIG,N,19,10"
1626,996TR4385,Rue des Eucalyptus,50,223_010_02,10/12/08,16/12/08,Casseyrols-Soulas,147,103,927,#N/A,12,2008,Pneumatique,4385
1625,996TR4385,Rue des Eucalyptus,50,223_010_01,10/12/08,16/12/08,Soulas-Casseyrols,54,172,863,#N/A,12,2008,Pneumatique,4385
476,996TR4385,Rue des Eucalyptus,50,EUCAL.000.01,21/09/01,27/09/01,Soulas-Casseyrols,55,168,993,#N/A,9,2001,Pneumatique,4385
477,996TR4385,Rue des Eucalyptus,50,EUCAL.000.02,21/09/01,27/09/01,Casseyrols-Soulas,178,130,1149,#N/A,9,2001,Pneumatique,4385
728,979TR2270,Rue des Escarceliers,50,227_007_02,16/06/04,22/06/04,Piscine-Lodeve,52,63,387,Tube coupé,6,2004,Pneumatique,2270
729,979TR2270,Rue des Escarceliers,50,227_007_01,16/06/04,22/06/04,Lodeve-Piscine,70,57,547,Tube coupé,6,2004,Pneumatique,2270
637,938TR4997,Rue des Ecoles Laïques,50,227_006_01,10/10/03,16/10/03,Neuve-Blanc,205,254,2254,#N/A,10,2003,Pneumatique,4997
613,938TR4998,Rue des Ecoles Laïques,50,872_008_01,14/06/03,20/06/03,Neuve-Blanc,127,132,1145,#N/A,6,2003,Pneumatique,4998
2981,838TR4818,Rue des Coronilles,50,2332_003_02,02/02/13,08/02/13,Clementville_Genevriers,26,28,172,,2,2013,Magnétique,4818
2980,838TR4818,Rue des Coronilles,50,2327_003_01,02/02/13,08/02/13,Genevriers_Clementville,30,30,195,,2,2013,Magnétique,4818
1840,838TR4818,Rue des Coronilles,50,212_008_01,11/09/09,17/09/09,Genevriers-Clementville,37,31,233,#N/A,9,2009,Pneumatique,4818
